,band_count,month_init,time_finish,time_start,u_wind_loc,u_wind_reg,v_wind_loc,v_wind_reg,water_period,year
0,2,12,1985-04-09,1984-12-24,-1.8039576920909814,-0.945100243101277,-0.46924994810647763,-0.6933346104218857,R,1984
1,2,4,1985-07-09,1985-04-09,-2.042476098972741,-0.7277543725046437,-0.0871503936438335,-0.12612106364125544,HW,1985
2,2,7,1985-09-23,1985-07-09,-1.7111385343116703,-0.5778235797297706,-0.1832498161210826,-0.2384264019032202,F,1985
3,2,9,1985-12-16,1985-09-23,-1.3640438345433308,-0.576755159228704,-0.09417391167425226,-0.3554553022880002,LW,1985
4,2,12,1986-03-16,1985-12-16,-1.7676569860201516,-0.8939199168594564,-0.5907965822965379,-0.6242072698696444,R,1985
5,2,3,1986-06-08,1986-03-16,-2.2773112492764374,-0.9165654676833273,-0.18041826851070275,-0.20222683056514795,HW,1986
6,2,6,1986-08-23,1986-06-08,-2.1719074931816253,-0.6790263850213345,0.1597006353275995,-0.0974930598307526,F,1986
7,2,8,1986-11-23,1986-08-23,-1.565426432221988,-0.4896897448321977,0.3899023552021343,-0.031290793267018974,LW,1986
8,2,11,1987-03-09,1986-11-23,-2.106703772913284,-0.958507310991314,-0.2846130491228384,-0.46108574995081275,R,1986
9,2,3,1987-06-16,1987-03-09,-2.314731552676493,-0.8361818593736946,0.05489153447618771,-0.036004452624850185,HW,1987
10,2,6,1987-09-16,1987-06-16,-1.6482889272448678,-0.4562795682236515,0.08519369261664808,-0.15094921645493115,F,1987
11,2,9,1987-12-24,1987-09-16,-1.5640591757968985,-0.3771502222698373,0.46087120734791,-0.12391801947557268,LW,1987
12,2,12,1988-04-08,1987-12-24,-1.8644513400143705,-0.8372739272808993,-0.2691946638508843,-0.434202518488709,R,1987
13,2,4,1988-07-01,1988-04-08,-1.5961818850300664,-0.5848473467436842,-0.05311112286222309,-0.07637415060970132,HW,1988
14,2,7,1988-08-31,1988-07-01,-1.5008538290789728,-0.41460893124223175,-0.4421030107651749,-0.37576210985313213,F,1988
15,2,8,1988-11-30,1988-08-31,-1.4742016061881904,-0.491732790260483,0.1621211171727168,-0.19404931040680226,LW,1988
16,2,11,1989-04-01,1988-11-30,-1.402349650446596,-0.6921137392966425,-0.5845063128391399,-0.5800327107562817,R,1988
17,2,4,1989-07-24,1989-04-01,-1.7778478194682636,-0.6705685929453922,-0.09876457678365606,-0.14915517300473838,HW,1989
18,2,7,1989-11-08,1989-07-24,-1.8491648682950421,-0.5588322019068056,0.10260302516985326,-0.17006502150551048,F,1989
19,2,11,1990-01-31,1989-11-08,-1.7216822121557107,-0.8462094793923549,-0.2824903207731126,-0.6289831698402674,LW,1989
20,2,1,1990-04-01,1990-01-31,-2.0153600104913605,-0.8322136138089382,-0.49385820246954126,-0.5435716478113262,R,1990
21,2,4,1990-06-16,1990-04-01,-2.1788762690783043,-0.7942851501315021,-0.007096610547946939,-0.16587511274126474,HW,1990
22,2,6,1990-09-16,1990-06-16,-2.1473370048996716,-0.7056847369314864,0.23985472638829308,-0.03318985178511642,F,1990
23,2,9,1990-12-24,1990-09-16,-2.2685220308440366,-0.6612809642845859,0.3043020534954668,-0.10531936106515458,LW,1990
24,2,12,1991-04-09,1990-12-24,-2.2006061911409738,-0.992476568102591,-0.47613041005624385,-0.49579038712784856,R,1990
25,2,4,1991-07-09,1991-04-09,-2.2944947840906265,-0.8252962235079779,-0.09766571822233878,-0.20238347502653894,HW,1991
26,2,7,1991-09-23,1991-07-09,-2.6268393759465187,-0.7667901019639476,-0.02940971083860436,-0.23313304932844714,F,1991
27,2,9,1991-12-16,1991-09-23,-2.38745113839,-0.7994718090805535,0.26292698328326514,-0.11977253660517181,LW,1991
28,2,12,1992-03-16,1991-12-16,-2.264096860695875,-0.9905286470568796,-0.108223717193063,-0.4923205783526786,R,1991
29,2,3,1992-06-16,1992-03-16,-2.8701618807375366,-1.2226728804075027,0.0631385584443943,-0.1421078545058117,HW,1992
30,2,6,1992-09-16,1992-06-16,-2.4859586831130485,-0.47276378148650455,0.32310070119731354,-0.022617016731395205,F,1992
31,2,9,1992-12-16,1992-09-16,-2.225155325301693,-0.5866349308239773,0.1840060244773916,-0.08130687504346437,LW,1992
32,2,12,1993-03-16,1992-12-16,-1.9297973469350265,-0.8820973205448296,-0.2525988396210725,-0.4090670091691441,R,1992
33,2,3,1993-06-16,1993-03-16,-2.3736645691773113,-0.9159792347243866,-0.008526392076698829,-0.13165921047628248,HW,1993
34,2,6,1993-09-16,1993-06-16,-1.6132872538403924,-0.47107535776531045,0.28824448255401974,-0.05503534297288101,F,1993
35,2,9,1993-12-24,1993-09-16,-1.2695110586167315,-0.5193784882460797,0.08207775486300503,-0.24679714061099592,LW,1993
36,2,12,1994-04-09,1993-12-24,-1.9408580571805918,-0.8699893589689695,-0.38972584685685985,-0.42660539135627484,R,1993
