Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:17050001


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
17050001;1;15/03/2025;01/01/1900 14:09;206;"624,0";"201000,0";"140240,6";"3701,1";"1,43";"37,9";Kleiton/Gilberto/Messias;4
17050001;1;04/12/2024;01/01/1900 07:09;205;"-4,0";"59600,0";"113090,4";"2555,4";"0,527";"44,3";Alan/ Erivelton/ Mauro Ney;4
17050001;1;16/11/2024;01/01/1900 08:07;204;"-61,0";"56100,0";"110708,4";"2490,6";"0,506";"44,5";Alan/ Erivelton/ Mauro Ney;4
17050001;1;17/10/2024;01/01/1900 07:00;203;"-87,0";"56200,0";"112549,0";"2334,2";"0,499";"48,2";Ronis/Roberval;4
17050001;1;16/10/2024;01/01/1900 07:00;202;"-100,0";"48300,0";"112499,0";"2321,6";"0,43";"48,5";Ronis/Roberval;4
17050001;1;15/10/2024;01/01/1900 07:00;201;"-102,0";"48700,0";"113367,0";"2355,2";"0,43";"48,1";Ronis/Roberval;4
17050001;1;14/10/2024;01/01/1900 07:30;200;"-111,0";"65000,0";"112510,0";"2323,7";"0,578";"48,4";Ronis/Roberval;4
17050001;1;12/10/2024;01/01/1900 08:00;199;"-120,0";"55500,0";"113281,0";"2316,8";"0,491";"48,9";Ronis/Roberval;4
17050001;1;11/10/2024;01/01/1900 07:00;198;"-110,0";"50100,0";"111305,0";"2321,9";"0,45";"47,9";Ronis/Roberval;4
17050001;1;09/10/2024;01/01/1900 07:30;197;"-99,0";"46900,0";"113007,0";"2313,9";"0,416";"48,8";Ronis/Silvio/Roberval;4
17050001;1;31/08/2024;01/01/1900 10:00;196;"286,0";"131000,0";"120383,7";"2382,2";"1,09";"50,5";"Milton, Messias e Edson";4
17050001;1;26/05/2024;01/01/1900 12:20;192;"650,0";"209000,0";"131163,9";"2445,0";"1,59";"53,6";"Kleiton, Messias e Breno";4
