Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:17050002


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
17050002;1;13/10/1977;01/01/1900 07:00;57;"256,0";"85593,0";"6845,0";"2311,0";"0,8";"46,4";;
17050002;1;11/08/1977;01/01/1900 07:00;56;"616,0";"149612,0";"20294,0";"2382,0";"1,25";"52,7";;
17050002;1;02/06/1977;01/01/1900 07:00;55;"728,0";"165920,0";"29630,0";"2486,0";"1,28";"54,6";;
17050002;1;19/05/1977;01/01/1900 07:00;54;"719,0";"173282,0";"30232,0";"2486,0";"1,33";"54,6";;
17050002;1;06/02/1977;01/01/1900 07:00;53;"400,0";"136341,0";"21854,0";"2416,0";"1,12";"52,2";;
17050002;1;16/01/1977;01/01/1900 07:00;52;"316,0";"128274,0";"17176,0";"2366,0";"1,09";"51,1";;
17050002;1;17/12/1976;01/01/1900 07:00;51;"187,0";"103160,0";"10949,0";"2306,0";"0,93";"49,7";;
17050002;1;10/11/1976;01/01/1900 07:00;50;"139,0";"93241,0";"15333,0";"2398,0";"0,81";"49,6";;
17050002;1;19/10/1976;01/01/1900 07:00;49;"192,0";"93561,0";"13907,0";"2275,0";"0,82";"50,7";;
17050002;1;21/09/1976;01/01/1900 07:00;48;"423,0";"133721,0";"17573,0";"2346,0";"1,14";"52,0";;
17050002;1;13/08/1976;01/01/1900 07:00;47;"655,0";"182434,0";"26521,0";"2404,0";"1,44";"55,1";;
17050002;1;16/07/1976;01/01/1900 07:00;46;"741,0";"196310,0";"21996,0";"2486,0";"1,61";"53,9";;
17050002;1;13/06/1976;01/01/1900 07:00;45;"777,0";"229896,0";"41236,0";"2486,0";"1,63";"59,4";;
17050002;1;21/05/1976;01/01/1900 07:00;44;"782,0";"200158,0";"24326,0";"2486,0";"1,61";"53,2";;
17050002;1;30/04/1976;01/01/1900 07:00;43;"752,0";"200522,0";"26496,0";"2486,0";"1,58";"54,8";;
17050002;1;01/04/1976;01/01/1900 07:00;42;"664,0";"192902,0";"20684,0";"2405,0";"1,6";"52,3";;
17050002;1;23/02/1976;01/01/1900 07:00;41;"546,0";"155972,0";"10605,0";"2387,0";"1,41";"49,2";;
17050002;1;30/01/1976;01/01/1900 07:00;40;"426,0";"145353,0";"18029,0";"2453,0";"1,23";"48,1";;
17050002;1;11/12/1975;01/01/1900 07:00;39;"209,0";"85234,0";"11261,0";"2318,0";"0,766";"47,99";;
17050002;1;19/11/1975;01/01/1900 07:00;38;"199,0";"84350,0";"12528,0";"2314,0";"0,75";"48,63";;
17050002;1;17/10/1975;01/01/1900 07:00;37;"403,0";"115782,0";"19844,0";"2365,0";"0,966";"50,7";;
17050002;1;18/09/1975;01/01/1900 07:00;36;"567,0";"169988,0";"22699,0";"2387,0";"1,385";"51,4";;
17050002;1;06/08/1975;01/01/1900 07:00;35;"699,0";"234697,0";"20398,0";"2429,0";"1,949";"49,6";;
17050002;1;26/07/1975;01/01/1900 07:00;34;"716,0";"262562,0";"26656,0";"2523,0";"2,073";"50,2";;
17050002;1;25/06/1975;01/01/1900 07:00;33;"762,0";"216527,0";"27094,0";"2566,0";"1,704";"49,5";;
17050002;1;13/05/1975;01/01/1900 07:00;32;"748,0";"216022,0";"26236,0";"2567,0";"1,711";"49,2";;
17050002;1;17/04/1975;01/01/1900 07:00;31;"708,0";"226862,0";"22974,0";"2519,0";"1,845";"48,8";;
17050002;1;21/03/1975;01/01/1900 07:00;30;"627,0";"193294,0";"17831,0";"2396,0";"1,64";"49,2";;
17050002;1;14/02/1975;01/01/1900 07:00;29;"527,0";"180676,0";"19107,0";"2378,0";"1,517";"50,1";;
17050002;1;14/01/1975;01/01/1900 07:00;28;"409,0";"120100,0";"15603,0";"2364,0";"1,039";"48,9";;
17050002;1;22/11/1974;01/01/1900 07:00;27;"316,0";"116294,0";"19101,0";"2425,0";"0,976";"49,1";;
17050002;1;20/09/1974;01/01/1900 07:00;26;"522,0";"190743,0";"21570,0";"2379,0";"1,569";"51,1";;
17050002;1;03/08/1974;01/01/1900 07:00;25;"668,0";"233029,0";"24403,0";"2411,0";"1,873";"51,6";;
17050002;1;15/05/1974;01/01/1900 07:00;24;"741,0";"266897,0";"23737,0";"2545,0";"2,157";"48,6";;
17050002;1;14/03/1974;01/01/1900 07:00;23;"633,0";"233250,0";"18807,0";"2398,0";"1,963";"49,5";;
17050002;1;23/01/1974;01/01/1900 07:00;22;"446,0";"193434,0";"16532,0";"2373,0";"1,66";"49,1";;
17050002;1;27/11/1973;01/01/1900 07:00;21;"288,0";"139173,0";"13192,0";"2339,0";"1,229";"48,4";;
17050002;1;04/11/1973;01/01/1900 07:00;20;"359,0";"168678,0";"16421,0";"2355,0";"1,449";"49,4";;
17050002;1;13/09/1973;01/01/1900 07:00;19;"556,0";"219423,0";"19921,0";"2340,0";"1,83";"51,25";;
17050002;1;21/07/1973;01/01/1900 07:00;18;"687,0";"213854,0";"28776,0";"2341,0";"1,661";"55,01";;
17050002;1;31/05/1973;01/01/1900 07:00;17;"708,0";"230730,0";"22156,0";"2369,0";"1,889";"51,57";;
17050002;1;25/04/1973;01/01/1900 07:00;16;"617,0";"210279,0";"25822,0";"2357,0";"1,671";"53,39";;
17050002;1;30/03/1973;01/01/1900 07:00;15;"544,0";"171379,0";"15638,0";"2311,0";"1,482";"50,04";;
17050002;1;25/02/1973;01/01/1900 07:00;14;"448,0";"150477,0";"16864,0";"2307,0";"1,288";"50,66";;
17050002;1;09/12/1972;01/01/1900 07:00;13;"231,0";"113219,0";"13631,0";"2270,0";"0,996";"50,05";;
17050002;1;14/10/1972;01/01/1900 07:00;12;"349,0";"143031,0";"17072,0";"2274,0";"1,222";"51,49";;
17050002;1;09/08/1972;01/01/1900 07:00;11;"628,0";"208468,0";"24223,0";"2326,0";"1,678";"53,4";;
17050002;1;06/06/1972;01/01/1900 07:00;10;"730,0";"235851,0";"25695,0";"2711,0";"1,876";"46,37";;
17050002;1;05/06/1972;01/01/1900 07:00;9;"731,0";"228269,0";"26341,0";"2711,0";"1,806";"46,61";;
17050002;1;27/02/1972;01/01/1900 07:00;8;"554,0";"157205,0";"14749,0";"2324,0";"1,37";"49,4";;
17050002;1;14/12/1971;01/01/1900 07:00;7;"310,0";"131710,0";"12987,0";"2298,0";"1,166";"49,2";;
17050002;1;26/10/1971;01/01/1900 07:00;6;"297,0";"115462,0";"15740,0";"2280,0";"0,997";"50,8";;
17050002;1;14/08/1971;01/01/1900 07:00;5;"661,0";"196683,0";"10404,0";"2311,0";"1,781";"47,8";;
17050002;1;20/06/1971;01/01/1900 07:00;4;"752,0";"236066,0";"21159,0";"2311,0";"1,948";"52,4";;
17050002;1;01/05/1971;01/01/1900 07:00;3;"725,0";"224351,0";"14001,0";"2311,0";"1,968";"49,3";;
17050002;1;22/04/1971;01/01/1900 07:00;2;"701,0";"223380,0";"16018,0";"2311,0";"1,925";"50,2";;
17050002;1;22/11/1969;01/01/1900 07:00;1;"99,0";"84740,0";"94470,0";"2250,0";"0,897";"42,0";;
