Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:17050001


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
17050001;1;01/07/2025;;1;1;"233855,4";"223636,86";"229690,02";4;31;1;1;1;;0;"233212,3";"233598,1";"233212,3";"233855,4";"233598,1";"233855,4";"232056,19";"232056,19";"231542,98";"231030,16";"231030,16";"231030,16";"231030,16";"230517,7";"230517,7";"230517,7";"230005,62";"229749,73";"229493,94";"229493,94";"228727,11";"228216,38";"227706,02";"227196,03";"226941,19";"226177,22";"225668,38";"225159,92";"224905,84";"224651,86";"223636,86";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17050001;1;01/06/2025;;1;1;"237209,06";"233855,4";"235530,84";1;30;1;1;1;;0;"237209,06";"237209,06";"236950,52";"236950,52";"236433,73";"236175,47";"236175,47";"236175,47";"235659,23";"235659,23";"235401,27";"235401,27";"235659,23";"235917,31";"236175,47";"235917,31";"235401,27";"235659,23";"235659,23";"235401,27";"235143,39";"234885,61";"234627,9";"234627,9";"234627,9";"234627,9";"234112,81";"234112,81";"234112,81";"233855,4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
17050001;1;01/05/2025;;1;1;"237209,06";"233083,75";"236034,67";19;1;1;1;1;"0,0";0;"233083,75";"233855,4";"234627,9";"234627,9";"235143,39";"235143,39";"235143,39";"235143,39";"235659,23";"235659,23";"235659,23";"235659,23";"235401,27";"235917,31";"235917,31";"236692,08";"236692,08";"236692,08";"237209,06";"237209,06";"237209,06";"236692,08";"236692,08";"236692,08";"236692,08";"236950,52";"236433,73";"236950,52";"237209,06";"237209,06";"237209,06";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17050001;1;01/04/2025;;1;1;"231799,53";"214071,23";"223496,81";30;1;1;1;1;"0,0";0;"214071,23";"214821,34";"215572,31";"216825,89";"217327,98";"217579,19";"218333,36";"218584,95";"218836,62";"219088,4";"220096,48";"221611,48";"222370,28";"224144,17";"224651,86";"225668,38";"225922,75";"225922,75";"226686,44";"226941,19";"226941,19";"227196,03";"227450,97";"227706,02";"228216,38";"228727,11";"229749,73";"231030,16";"231030,16";"231799,53";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
17050001;1;01/03/2025;;1;1;"213072,45";"180529,73";"198810,61";31;1;1;1;1;;0;"180529,73";"182184,88";"183370,2";"185272,05";"186941,52";"188376,47";"189815,06";"191016,67";"192461,94";"193185,94";"193910,83";"195605,78";"196333,69";"197548,88";"198766,55";"199742,5";"201209,39";"202189,3";"203170,8";"204646,02";"205384,97";"206124,8";"206865,5";"207359,81";"207854,5";"207854,5";"208845,08";"210085,48";"211328,36";"212075,23";"213072,45";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17050001;1;01/02/2025;;1;1;"179586,2";"150625,61";"164466,53";28;1;1;1;1;"0,0";0;"150625,61";"152081,3";"153124,28";"153960,6";"154169,94";"154798,62";"155417,4";"156091,67";"157668,72";"158798,42";"159251,05";"160611,52";"161520,64";"162431,47";"165174,19";"167011,14";"167471,44";"168393,3";"169316,84";"171168,98";"172097,56";"173027,81";"173726,61";"175127,0";"176296,84";"177469,28";"178644,31";"179586,2";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
17050001;1;01/01/2025;;1;1;"149175,17";"101470,29";"127206,68";31;1;1;1;1;"0,0";0;"101470,29";"103807,27";"105982,15";"107624,375";"110197,73";"111864,04";"113726,48";"115600,42";"117485,82";"119002,37";"120526,195";"122057,28";"123595,6";"125528,65";"127277,99";"128644,86";"130410,29";"131789,64";"132580,27";"133769,55";"134763,66";"136960,39";"138365,23";"139170,4";"140381,45";"141596,44";"142815,34";"143834,08";"145879,7";"147523,98";"149175,17";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17050001;1;01/12/2024;;1;1;"99864,1";"70882,82";"83155,86";31;1;1;1;1;"0,0";0;"70882,82";"71476,32";"72471,99";"73677,58";"73906,73";"73906,73";"73677,58";"75022,44";"75823,2";"76627,16";"77434,28";"78407,016";"79547,62";"80366,11";"81847,3";"83338,61";"84338,414";"85342,69";"85846,49";"85846,49";"86519,96";"87364,56";"88212,25";"89404,15";"90945,39";"92496,49";"93536,016";"94928,81";"96504,92";"98267,54";"99864,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17050001;1;01/11/2024;;1;1;"69509,37";"51757,56";"60805,51";30;8;1;1;1;"0,0";0;"54925,973";"55607,24";"55436,457";"56293,48";"55949,74";"54418,28";"53078,055";"51757,56";"51921,547";"51757,56";"51921,547";"52746,082";"54418,28";"57506,414";"60336,5";"63802,25";"66429,57";"67383,14";"68344,76";"68344,76";"67383,14";"66905,35";"66714,8";"66050,4";"65484,04";"66239,82";"67000,75";"67766,82";"68731,67";"69509,37";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
17050001;1;01/10/2024;;1;1;"61237,44";"50618,246";"56301,887";1;12;1;1;1;"0,0";0;"61237,44";"60695,93";"59443,45";"60516,055";"60876,117";"59799,723";"57680,938";"55949,74";"54756,43";"53578,32";"51512,156";"50618,246";"51104,684";"52828,96";"54502,703";"56552,105";"58206,4";"59888,99";"60876,117";"60876,117";"59088,434";"59088,434";"57855,777";"55436,457";"54081,367";"53244,5";"52911,914";"53078,055";"52911,914";"52415,348";"53745,695";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
